entity_name,indicator_name,indicator_code,frequency,数据来源,2025-Q2,2025-Q3,2025-Q4
利率（季）,美国:商业银行2年期个人贷款利率(%),EMG00152252,quarterly,美联储,11.57,11.14,11.65
利率（季）,美国:信用社所有账户利率(%),EMG00152253,quarterly,美联储,21.16,21.39,20.97
